Year,T,H,P
1991,14.93,7.06,3.64
1991,14.23,8.85,6.9
1991,12.39,5.24,0.4
1991,12.39,3.1,0
1991,12.71,4.97,0
1991,11.76,3,0
1991,12.5,3.02,0
1991,15.29,3.81,0
1991,16.66,4.69,0
1991,17.06,4.52,0
1991,18.71,4.82,0
1991,20.46,4.89,0
1991,21.95,5.5,0
1991,21.97,6.18,0
1991,19.72,7.05,0
1991,16.46,7.49,0.02
1991,16.61,7.11,0.07
1991,18.42,4.93,0
1991,19.11,4.39,0
1991,18.2,5.28,0
1991,12.42,4.8,0.12
1991,11.05,3.86,0
1991,11.59,4.44,0
1991,11.76,6.92,0.72
1991,12.27,5.13,0.06
1991,13.17,2.95,0
1991,14.59,3.21,0
1991,15.37,5.04,0
1991,15.23,2.9,0
1991,13.52,2,0
1991,14.66,2.4,0
1991,16.89,2.85,0
1991,17.69,3.13,0
1991,14.05,5.37,0.01
1991,9.95,3.14,0
1991,8.91,3.26,0.18
1991,7.24,1.97,0.01
1991,7.38,1.83,0.15
1991,9.04,2.96,0
1991,11.86,3.4,0
1991,12.78,3.18,0
1991,14.18,3.64,0
1991,12.51,3.47,0
1991,9.97,5.53,3.4
1991,10.93,5.96,3.25
1991,13.9,5.46,1.02
1991,13.3,6.39,2.48
1991,11.71,5.46,0.39
1991,11.34,3.66,0
1991,12.14,3.54,0
1991,13.03,3.1,0
1991,13.53,3.53,0
1991,13.93,4.57,0.03
1991,13.84,5.92,0.19
1991,12.72,7.16,1.17
1991,9.75,4.24,0.34
1991,10.58,3.15,0
1991,11.38,4.35,0
1991,11.14,6.44,0
1991,11.9,5.02,0
1991,11.96,4.22,0
1991,11.04,4.51,0
1991,10.74,4.98,0.17
1991,11.2,6.18,14.51
1991,9.96,6.8,25.54
1991,9.88,7.31,23.09
1991,9.65,6.08,0.74
1991,9.94,5.03,0
1992,10.79,4.16,0.05
1992,11.06,3.66,2.67
1992,8.59,5.3,6.5
1992,10.62,7.15,5.53
1992,9.6,7.16,30.48
1992,7.53,5.46,9.35
1992,6.66,5.47,6.04
1992,7.97,4.2,0
1992,9.18,3.47,0
1992,11.46,3.87,0
1992,10.85,4.05,0
1992,7.67,3.32,0
1992,8.51,3.27,0
1992,9.56,3.65,0
1992,10.35,3.94,0
1992,11.01,3.77,0
1992,11.21,4.26,0
1992,9.49,4.01,0
1992,9.96,3.9,0
1992,10.85,4.42,0
1992,10.88,4.8,0
1992,11.45,3.9,0
1992,12.35,3.71,0
1992,13.78,3.97,0
1992,13.16,4.39,0
1992,12.13,4.84,0
1992,13.02,4.55,0
1992,12.61,5.04,0
1992,14.29,4.38,0
1992,14.18,4.42,0
1992,14.44,4.88,0.1
1992,12.63,6.02,0.02
1992,12.32,5.13,0
1992,12.77,3.91,0
1992,13.26,4.36,0.01
1992,12.81,6.59,8.35
1992,12.75,8.23,29.74
1992,11.87,8.09,2.75
1992,11.6,7.21,1.64
1992,10.81,7.04,15.16
1992,11.19,7.8,47.32
1992,11.87,8.47,41.01
1992,11.53,8.39,32.73
1992,10.47,7.12,3.28
1992,10.62,6.59,11.46
1992,9.08,6.57,9.57
1992,9.6,6.64,0.91
1992,10.32,6.71,0.15
1992,11.6,6.62,0
1992,12.89,7.49,0.07
1992,13.63,8.86,0.07
1992,13.96,7.66,0.05
1992,14.48,7.25,0
1992,13.72,5.16,0
1992,14.08,4.86,0
1992,15.58,5.91,0
1992,14.89,5.73,0
1992,15.85,5.56,0
1992,16.33,5.78,0
1992,14.63,6.96,0.03
1992,12.84,8.22,14.95
1992,11.31,7.77,22.4
1992,11.48,7.66,2.93
1992,11.7,7.25,0.62
1992,11.67,7.09,1.47
1992,11.36,6.83,10.65
1992,10.09,6.1,2.12
1992,10.83,6.51,0.47
1992,12.29,6.96,0.02
1992,13.52,6.85,0
1992,14.71,6.32,0.01
1992,14.72,7.49,0
1992,13.65,7.41,0
1992,11.98,6.36,0
1992,11.95,6.96,0
1992,12.11,6.61,0
1992,11.77,6.22,0
1992,11.93,7.22,0.02
1992,12.87,7.32,6.37
1992,12.15,8.29,41.27
1992,12.06,7.91,11.08
1992,11.8,7.99,21.94
1992,11.94,7.57,2.48
1992,13.37,7.13,0.03
1992,13.61,7.37,0.94
1992,14.17,8.51,6.3
1992,13.39,8.28,11.85
1992,13.85,8.81,0.21
1992,13.88,8.39,0.44
1992,12.65,7.72,1.9
1992,13.1,7.41,4.38
1992,14.59,7.4,1.28
1992,15.88,7.54,0
1992,16.22,8.12,0
1992,15.6,9.3,0
1992,14.83,7.74,0
1992,14.45,7.67,0
1992,15.96,7.81,0
1992,16.48,8.05,0
1992,15.62,7.9,0
1992,14.66,7.9,0
1992,14.74,7.4,0
1992,14.96,6.3,0
1992,15.14,8.35,0
1992,14.98,8.46,0
1992,14.91,8.21,0
1992,16.67,8.41,0
1992,18.64,9.72,0
1992,17.83,7.21,0
1992,18.01,6.45,0
1992,18.52,7.56,0
1992,18.06,8.84,0
1992,15.86,6.53,0
1992,17.84,6.68,0
1992,21.12,7.57,0
1992,22.09,8.06,0
1992,21.5,7.84,0
1992,20.75,8.39,0
1992,21.09,8.35,0
1992,18.49,8.95,0
1992,17.56,8.17,0
1992,17.69,7.74,0
1992,18.71,7.9,0
1992,18.94,8.84,0
1992,18.71,9.04,0.04
1992,19.15,10.41,1.24
1992,18.64,10.29,0.73
1992,19.12,9.93,0.04
1992,19.44,10.21,0.07
1992,18.59,10.63,0.05
1992,19.07,9.86,0.03
1992,18.22,10.13,0.02
1992,17.43,9.19,0
1992,17.46,8.26,0
1992,16.24,8.53,0
1992,17.24,9.19,0
1992,18.85,8.93,0.01
1992,19.36,9.02,0
1992,19.88,8.29,0
1992,18.19,8.88,0
1992,17.68,7.85,0
1992,18.14,8.25,0.07
1992,18.85,9.04,0.19
1992,19.95,9.43,0.01
1992,18.89,9.84,0.03
1992,19.39,10.05,0
1992,18.72,9.75,0
1992,18.14,9.67,0
1992,18.1,9.96,0
1992,18.24,9.55,0
1992,19.92,8.93,0
1992,20.95,9.28,0
1992,20.71,10.28,0
1992,20.05,10,0
1992,20.98,8.99,0.01
1992,18.94,9.86,0.03
1992,16.99,9.09,0.05
1992,16.58,7.97,0.03
1992,18.05,8.88,0
1992,18.83,9.18,0
1992,19.43,9.18,0
1992,18.27,9.21,0.01
1992,18.05,8.99,0
1992,18.74,6.72,0
1992,18.74,6.06,0
1992,17.46,5.92,0
1992,17.58,6.8,0
1992,19.28,6.54,0.03
1992,20.2,7.12,0
1992,17.93,7.61,0
1992,19,7.64,0
1992,19.51,8.69,0
1992,19.98,8.87,0
1992,22.34,7.09,0
1992,23.31,8.4,0
1992,22.35,8.5,0
1992,20.87,8.36,0
1992,20.25,9.39,0
1992,21.97,9.31,0
1992,22.75,9.37,0
1992,19.87,9.13,0
1992,18.4,9.17,0
1992,18.11,8.37,0
1992,20.21,8.02,0
1992,20,8.89,0
1992,19.99,9.17,0
1992,23.57,7.96,0
1992,25.79,8.07,0.39
1992,22.93,10.82,1.25
1992,24.3,13.26,0.76
1992,24.28,13.62,0.09
1992,22.18,12.87,0.68
1992,20.68,12.47,2.52
1992,21.15,13.14,1.05
1992,22.1,12.68,0.02
1992,23.41,11.96,0.01
1992,24.48,10.97,0.02
1992,25.13,10.67,0
1992,25.9,10.1,0
1992,27.97,8.62,0
1992,28.78,8.55,0
1992,26.35,7.02,0
1992,22.71,9.56,0
1992,21.87,9.45,0
1992,20.89,9.22,0
1992,20.46,9.94,0
1992,21.37,9.81,0
1992,22.73,9.74,0
1992,24.1,8.49,0
1992,24.55,8.24,0
1992,24.27,9.19,0
1992,25.04,9.29,0.01
1992,25.52,9.21,0.06
1992,26.31,9.92,0.07
1992,27.19,9.62,0
1992,26.18,10.3,0.05
1992,25.02,11.66,0.02
1992,24.04,11.77,0
1992,23.54,10.11,0
1992,23.18,9.93,0
1992,24.01,10.33,0
1992,26.55,9.4,0
1992,26.95,10.08,0
1992,26.4,10.67,0.11
1992,27.99,10.57,0.19
1992,28.77,11.92,0.53
1992,28.41,12.15,0.1
1992,28.31,11.16,0
1992,29.02,10.56,0
1992,28.46,11.16,0
1992,28.32,11.18,0
1992,28.11,9.59,0
1992,27.51,9.02,0
1992,24.82,10.73,0
1992,22.19,8.48,0
1992,23.39,5.38,0
1992,21.45,8.87,0
1992,21.58,9.35,0
1992,23.23,8.48,0
1992,25.1,7.96,0
1992,24.64,8.8,0
1992,22.66,8.92,0
1992,18.12,8.18,0
1992,19.48,9.75,0
1992,19.84,10.1,0
1992,20.63,9.5,0
1992,20.63,9.45,0
1992,21.35,7.06,0
1992,23.28,7.6,0
1992,21.54,9.78,0
1992,22.14,9.01,0
1992,22.03,8.4,0
1992,21.38,7.87,0
1992,21.68,8.18,0
1992,22.52,9.17,0
1992,22.5,8.84,0
1992,21.94,8.2,0
1992,21.3,7.76,0
1992,21.66,8.97,0
1992,23.48,8.6,0
1992,25.73,9.45,0.01
1992,23.78,9.16,0
1992,24.2,6.11,0
1992,23.96,6.85,0
1992,25.73,6.96,0
1992,27.33,8.73,0
1992,28.06,7.15,0
1992,26.98,6.86,0
1992,24.08,7.23,0
1992,25.09,5.42,0
1992,26.28,6.47,0
1992,26.6,5.95,0
1992,26.71,6.9,0
1992,26.97,7.22,0
1992,24.96,7.11,0
1992,19.14,8.58,0
1992,19.18,7.01,0
1992,21.18,6.15,0
1992,22.59,6.23,0
1992,23,6.61,0
1992,24.43,3.81,0
1992,23.62,4.16,0
1992,22.21,6.88,0
1992,22.7,6.28,0
1992,22.73,6.06,0
1992,22.21,6.25,0
1992,18.55,9.13,0
1992,17.77,9.44,0
1992,16.95,9.24,0
1992,17.57,7.85,0.08
1992,19.23,7.44,0.02
1992,18.99,8.09,0
1992,18.74,7.94,0
1992,19.07,6.47,0.33
